t_s,scene_main.in,lfo_a.out,lfo_b.out
4.120000,-0.584653,0.408089,0.953080
4.130000,-0.568753,0.404912,0.952240
4.140000,-0.312705,0.401742,0.951400
4.150000,-0.554052,0.398578,0.950560
4.160000,-0.462189,0.395421,0.949720
4.170000,-0.339771,0.392271,0.948880
4.180000,-0.193779,0.389128,0.948040
4.190000,-0.636291,0.385992,0.947200
4.200000,-0.524024,0.382864,0.946360
4.210000,0.150548,0.379744,0.945520
4.220000,0.616393,0.376632,0.944680
4.230000,1.029073,0.373528,0.943840
4.240000,1.354877,0.370433,0.943000
4.250000,1.172448,0.367346,0.942160
4.260000,0.447724,0.364268,0.941320
4.270000,-0.366924,0.361200,0.940480
4.280000,-1.425554,0.358140,0.939640
4.290000,-1.438105,0.355090,0.938800
4.300000,-0.835056,0.352049,0.937960
4.310000,-1.190195,0.349019,0.937120
4.320000,-0.691169,0.345998,0.936280
4.330000,-0.011070,0.342988,0.935440
4.340000,0.792937,0.339988,0.934600
4.350000,0.119111,0.336999,0.933760
4.360000,0.846355,0.334021,0.932920
4.370000,0.764252,0.331054,0.932080
4.380000,0.645191,0.328098,0.931240
4.390000,-0.362412,0.325154,0.930400
4.400000,0.062769,0.322221,0.929560
4.410000,-0.406922,0.319300,0.928720
4.420000,-0.545169,0.316391,0.927880
4.430000,-0.375545,0.313495,0.927040
4.440000,0.259365,0.310611,0.926200
4.450000,-0.332089,0.307739,0.925360
4.460000,-0.449344,0.304881,0.924520
4.470000,-0.305055,0.302035,0.923680
4.480000,-0.821582,0.299202,0.922840
4.490000,-1.235152,0.296383,0.922000
4.500000,0.048427,0.293578,0.921160
4.510000,0.304162,0.290786,0.920320
4.520000,0.426559,0.288009,0.919480
4.530000,0.699168,0.285245,0.918640
4.540000,1.688514,0.282496,0.917800
4.550000,0.553906,0.279761,0.916960
4.560000,0.098332,0.277041,0.916120
4.570000,-0.537620,0.274336,0.915280
4.580000,-0.479153,0.271646,0.914440
4.590000,-1.290063,0.268971,0.913600
4.600000,-1.356014,0.266311,0.912760
4.610000,-0.957178,0.263668,0.911920
4.620000,-0.634242,0.261040,0.911080
4.630000,0.085851,0.258427,0.910240
4.640000,0.339472,0.255831,0.909400
4.650000,0.753999,0.253252,0.908560
4.660000,0.719104,0.250688,0.907720
4.670000,0.809335,0.248142,0.906880
4.680000,0.066629,0.245612,0.906040
4.690000,-0.063640,0.243099,0.905200
4.700000,-0.094411,0.240603,0.904360
4.710000,-0.233404,0.238125,0.903520
4.720000,-0.241934,0.235664,0.902680
4.730000,-0.162212,0.233221,0.901840
4.740000,0.127434,0.230795,0.901000
4.750000,-0.526130,0.228387,0.900160
4.760000,-0.565788,0.225998,0.899320
4.770000,-0.726939,0.223627,0.898480
4.780000,-1.083892,0.221274,0.897640
4.790000,-0.682311,0.218940,0.896800
4.800000,-0.165197,0.216625,0.895960
4.810000,0.413531,0.214328,0.895120
4.820000,0.239475,0.212051,0.894280
4.830000,1.473596,0.209793,0.893440
4.840000,1.147941,0.207554,0.892600
4.850000,0.585866,0.205334,0.891760
4.860000,0.118138,0.203135,0.890920
4.870000,0.463031,0.200955,0.890080
4.880000,-0.890319,0.198795,0.889240
4.890000,-1.475733,0.196655,0.888400
4.900000,-0.825873,0.194536,0.887560
4.910000,-1.032646,0.192436,0.886720
4.920000,-1.058155,0.190358,0.885880
4.930000,-0.611337,0.188300,0.885040
4.940000,0.676998,0.186263,0.884200
4.950000,0.464371,0.184246,0.883360
4.960000,0.517315,0.182251,0.882520
4.970000,0.485545,0.180277,0.881680
4.980000,0.414810,0.178324,0.880840
4.990000,-0.088781,0.176393,0.880000
